3IN.L
HIK.L
HILS.L
HINT.L
HL.L
HLCL.L
HLMA.L
HMSF.L
HMSO.L
HNE.L
HNT.L
HOC.L
HRI.L
HSBA.L
HSL.L
HSP.L
HSTG.L
HSTN.L
HSV.L
HSW.L
HSX.L
HTG.L
HUR.L
HVPE.L
HWDN.L
HWG.L
IAG.L
IAT.L
IBST.L
IBT.L
ICGT.L
ICP.L
IEM.L
IGAS.L
IGG.L
IHG.L
IHP.L
III.L
IIT.L
IMB.L
IMI.L
INCH.L
INDV.L
INF.L
INPP.L
INTU.L
INVP.L
IOM.L
IPEL.L
IPF.L
IPO.L
IPU.L
ISAT.L
ITE.L
ITRK.L
ITV.L
IVI.L
IWG.L
JAI.L
JAM.L
JCH.L
JD.L
JDW.L
JE.L
JEMI.L
JEO.L
JESC.L
JETG.L
JETI.L
JFJ.L
JHD.L
JII.L
JLEN.L
JLG.L
JMAT.L
JMC.L
JMF.L
JMG.L
JMI.L
JPGI.L
JPJ.L
JPS.L
JRS.L
JSG.L
JTC.L
JUP.L
JUS.L
JUSC.L
JUST.L
KAZ.L
KCOM.L
KGF.L
KIE.L
KIT.L
KLR.L
KMR.L
KNOS.L
LAM.L
LAND.L
LBOW.L
LEK.L
LGEN.L
LIO.L
LLOY.L
LMP.L
LOOK.L
LRE.L
LSE.L
LSL.L
LTI.L
LWB.L
LWDB.L
LWI.L
LXI.L
MAB.L
MACF.L
MAJE.L
MARS.L
MCB.L
MCKS.L
MCLS.L
MCP.L
MCRO.L
MCS.L
MCT.L
MDC.L
MER.L
MERL.L
MGAM.L
MGGT.L
MGNS.L
MGP.L
MKS.L
MLC.L
MNDI.L
MNKS.L
MNP.L
MNZS.L
MONY.L
MOTR.L
MPE.L
MPO.L
MRC.L
MRCH.L
MRO.L
MRW.L
MSLH.L
MTE.L
MTO.L
MTRO.L
MTU.L
MUL.L
MUT.L
MWY.L
MYI.L
MYSL.L
NAIT.L
NANO.L
NAS.L
NBLS.L
NCC.L
NCYF.L
NESF.L
NEX.L
NG.L
NICL.L
NMC.L
NOG.L
NRR.L
NTG.L
NUM.L
NXR.L
NXT.L
OCDO.L
OPG.L
OSB.L
OTB.L
OXB.L
OXIG.L
P2P.L
PAC.L
PAF.L
PAG.L
PAGE.L
PAY.L
PCA.L
PCFT.L
PCGH.L
PCT.L
PCTN.L
PDG.L
PDL.L
PETS.L
PEYS.L
PFC.L
PFD.L
PFG.L
PGH.L
PHI.L
PHNX.L
PHP.L
PHTM.L
PIN.L
PLI.L
PLP.L
PLUS.L
PMG.L
PMO.L
PNL.L
PNN.L
POG.L
POLR.L
POLY.L
POS.L
PRTC.L
PRU.L
PRV.L
PSDL.L
PSH.L
PSN.L
PSON.L
PTEC.L
PURE.L
PZC.L
QFI.L
QLT.L
QQ.L
RAT.L
RAV.L
RB.L
RBS.L
RCDO.L
RCH.L
RCN.L
RCP.L
RDI.L
RDSA.L
RDSB.L
RDW.L
RECI.L
REDD.L
REL.L
RESI.L
RGL.L
RHIM.L
RICA.L
RIO.L
RIV.L
RKH.L
RM.L
RM2.L
RMG.L
RMV.L
RNK.L
ROR.L
RPC.L
RPS.L
RR.L
RSA.L
RSE.L
RSW.L
RTN.L
RTO.L
RWA.L
RWI.L
RWS.L
SAA.L
SAFE.L
SAGA.L
SBRE.L
SBRY.L
SCAM.L
SCF.L
SCH.L
SCIN.L
SCP.L
SCPA.L
SCRF.L
SCT.L
SDL.L
SDP.L
SDR.L
SDRY.L
SDY.L
SEC.L
SEQI.L
SERE.L
SFR.L
SGC.L
SGE.L
SGRO.L
SHB.L
SHI.L
SIA.L
SJG.L
SKG.L
SLA.L
SLI.L
SLPE.L
SLS.L
SMDS.L
SMIF.L
SMIN.L
SMP.L
SMS.L
SMT.L
SMWH.L
SN.L
SNN.L
SNR.L
SOHO.L
SOI.L
SOPH.L
SPD.L
SPI.L
SPO.L
SPT.L
SPX.L
SQN.L
SQNX.L
SRE.L
SREI.L
SRP.L
SSE.L
SSON.L
SSPG.L
SST.L
STAF.L
STAN.L
STB.L
STCK.L
STHR.L
STJ.L
STOB.L
STS.L
STVG.L
SUS.L
SVS.L
SVT.L
SWEF.L
SXS.L
SXX.L
SYNC.L
SYNT.L
TALK.L
TATE.L
TBCG.L
TCAP.L
TCG.L
TCM.L
TED.L
TEF.L
TEG.L
TEM.L
TEP.L
TET.L
TFIF.L
TFW.L
THRG.L
THRL.L
TIFS.L
TIGT.L
TLW.L
TMPL.L
TOWN.L
TPK.L
TPOS.L
TPT.L
TRG.L
TRI.L
TRIG.L
TRS.L
TRX.L
TRY.L
TSCO.L
TTG.L
TUI.L
TUNG.L
TW.L
TYMN.L
UAI.L
UDG.L
UEM.L
UKCM.L
UKW.L
ULE.L
ULVR.L
UTG.L
UU.L
VCT.L
VEC.L
VEIL.L
VIN.L
VLS.L
VOD.L
VOF.L
VP.L
VSL.L
VSVS.L
VTC.L
VTU.L
VVO.L
WEIR.L
WG.L
WIN.L
WIZZ.L
WKP.L
WMH.L
WPC.L
WPCT.L
WPP.L
WTAN.L
WTB.L
WWH.L
XAR.L
XPP.L
XPS.L
YNGA.L
.L
